Id,Rarity Score,Attribute Count,Punk Type,Full Type,Hair,Eyes,Facial Hair,Blemishes,Neck Accessory,Mouth Prop,Mouth,Nose,Ears
5735,124.8,3,Male,Male-Mid,Hoodie,NONE,NONE,NONE,Silver Chain,NONE,NONE,NONE,Earring
5736,131.98,4,Male,Male-Light,Peak Spike,Small Shades,NONE,NONE,NONE,Cigarette,Smile,NONE,NONE
5737,73.02,3,Male,Male-Dark,Shaved Head,Horned Rim Glasses,NONE,NONE,NONE,NONE,NONE,NONE,Earring
5738,89.97,3,Male,Male-Dark,Peak Spike,NONE,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,Earring
5739,86.84,3,Female,Female-Light,Knitted Cap,NONE,NONE,NONE,NONE,Vape,NONE,NONE,Earring
5740,118.48,3,Male,Male-Light,Shaved Head,3D Glasses,Goat,NONE,NONE,NONE,NONE,NONE,NONE
5741,91.55,3,Male,Male-Light,Mohawk,Horned Rim Glasses,Goat,NONE,NONE,NONE,NONE,NONE,NONE
5742,291.73,1,Zombie,Zombie,Mohawk Dark,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5743,84.19,2,Female,Female-Light,Tassle Hat,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
5744,63.82,2,Female,Female-Mid,Frumpy Hair,Big Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5745,182.33,2,Female,Female-Light,Blonde Short,NONE,NONE,Spots,NONE,NONE,NONE,NONE,NONE
5746,204.51,5,Male,Male-Light,Clown Hair Green,Small Shades,Shadow Beard,Mole,NONE,NONE,NONE,NONE,Earring
5747,60.96,2,Male,Male-Light,Frumpy Hair,Classic Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5748,162.05,4,Female,Female-Dark,Wild White Hair,Blue Eye Shadow,NONE,Mole,NONE,Cigarette,NONE,NONE,NONE
5749,91.26,2,Male,Male-Albino,Knitted Cap,NONE,Front Beard,NONE,NONE,NONE,NONE,NONE,NONE
5750,75.13,2,Male,Male-Mid,Messy Hair,3D Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5751,62.51,2,Female,Female-Dark,Knitted Cap,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
5752,58.01,2,Male,Male-Light,Frumpy Hair,NONE,NONE,Mole,NONE,NONE,NONE,NONE,NONE
5753,68.75,2,Male,Male-Mid,Knitted Cap,Small Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5754,181.36,4,Male,Male-Albino,Do-rag,Regular Shades,Front Beard Dark,NONE,Gold Chain,NONE,NONE,NONE,NONE
5755,73.83,3,Male,Male-Mid,Shaved Head,Classic Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
5756,77.34,2,Male,Male-Mid,Mohawk Dark,NONE,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,NONE
5757,106.89,3,Female,Female-Dark,Mohawk,Clown Eyes Green,NONE,NONE,NONE,Vape,NONE,NONE,NONE
5758,78.69,3,Female,Female-Mid,Crazy Hair,Big Shades,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
5759,73.32,3,Female,Female-Dark,Crazy Hair,Nerd Glasses,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
5760,90.21,2,Male,Male-Dark,Mohawk Thin,NONE,NONE,NONE,NONE,NONE,NONE,Clown Nose,NONE
5761,278.14,2,Zombie,Zombie,Bandana,Horned Rim Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5762,62.03,2,Male,Male-Mid,Headband,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5763,101.1,4,Male,Male-Light,Wild Hair,Classic Shades,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,Earring
5764,65.39,2,Male,Male-Mid,Bandana,Clown Eyes Green,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5765,136.67,4,Female,Female-Light,Straight Hair Dark,Classic Shades,NONE,NONE,NONE,Cigarette,Hot Lipstick,NONE,NONE
5766,111.65,3,Female,Female-Albino,Mohawk,Green Eye Shadow,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
5767,128.83,3,Male,Male-Light,Purple Hair,NONE,Luxurious Beard,Mole,NONE,NONE,NONE,NONE,NONE
5768,74,2,Male,Male-Light,Hoodie,NONE,NONE,Mole,NONE,NONE,NONE,NONE,NONE
5769,119.39,3,Female,Female-Light,Dark Hair,Horned Rim Glasses,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
5770,70.55,3,Female,Female-Mid,Knitted Cap,NONE,NONE,NONE,NONE,Cigarette,Hot Lipstick,NONE,NONE
5771,108.46,2,Female,Female-Dark,Dark Hair,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5772,86.52,2,Female,Female-Dark,Cap,3D Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5773,79.2,2,Male,Male-Mid,Mohawk Thin,NONE,NONE,NONE,NONE,Vape,NONE,NONE,NONE
5774,150.44,4,Male,Male-Mid,Cap,Eye Patch,Front Beard Dark,NONE,NONE,NONE,Smile,NONE,NONE
5775,131.54,2,Female,Female-Albino,Clown Hair Green,Clown Eyes Green,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5776,70.12,2,Male,Male-Mid,Peak Spike,Horned Rim Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5777,62.86,3,Male,Male-Mid,Mohawk Dark,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,Earring
5778,105.31,2,Female,Female-Mid,Blonde Short,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Earring
5779,77.91,3,Female,Female-Mid,Crazy Hair,NONE,NONE,Mole,NONE,NONE,Black Lipstick,NONE,NONE
5780,122.27,1,Male,Male-Mid,NONE,NONE,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
5781,98.22,2,Female,Female-Dark,Tassle Hat,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5782,156.25,4,Male,Male-Mid,Vampire Hair,VR,Normal Beard,NONE,NONE,NONE,NONE,NONE,Earring
5783,126.06,2,Female,Female-Dark,Red Mohawk,3D Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5784,76.06,2,Male,Male-Mid,Mohawk,3D Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5785,244.93,3,Female,Female-Albino,Blonde Short,Welding Goggles,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
5786,110.53,2,Male,Male-Light,Cowboy Hat,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5787,468.89,4,Female,Female-Mid,Tiara,Purple Eye Shadow,NONE,NONE,Choker,NONE,Black Lipstick,NONE,NONE
5788,124.52,2,Female,Female-Light,Dark Hair,NONE,NONE,NONE,NONE,Vape,NONE,NONE,NONE
5789,89.48,2,Male,Male-Dark,Peak Spike,NONE,Front Beard,NONE,NONE,NONE,NONE,NONE,NONE
5790,131.09,4,Female,Female-Mid,NONE,Green Eye Shadow,NONE,NONE,NONE,Cigarette,Black Lipstick,NONE,Earring
5791,78.98,3,Male,Male-Dark,Wild Hair,NONE,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,Earring
5792,105.77,2,Male,Male-Mid,Messy Hair,NONE,NONE,NONE,Silver Chain,NONE,NONE,NONE,NONE
5793,127.78,3,Male,Male-Mid,Purple Hair,NONE,Goat,Mole,NONE,NONE,NONE,NONE,NONE
5794,100.72,3,Male,Male-Mid,Fedora,Classic Shades,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
5795,923.74,1,Ape,Ape,Police Cap,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5796,56.2,2,Female,Female-Light,Messy Hair,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
5797,115.3,4,Male,Male-Light,Cap Forward,Nerd Glasses,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,Earring
5798,221.76,2,Female,Female-Albino,Orange Side,Green Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5799,61.79,3,Male,Male-Dark,Mohawk Dark,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,NONE,Earring
5800,112.87,3,Male,Male-Dark,Wild Hair,NONE,Big Beard,NONE,NONE,NONE,NONE,NONE,Earring
5801,97.32,3,Female,Female-Mid,Wild Hair,Purple Eye Shadow,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
5802,75.33,3,Male,Male-Dark,Frumpy Hair,NONE,Shadow Beard,Mole,NONE,NONE,NONE,NONE,NONE
5803,87.08,2,Male,Male-Dark,Do-rag,NONE,Goat,NONE,NONE,NONE,NONE,NONE,NONE
5804,147.06,4,Female,Female-Light,Knitted Cap,NONE,NONE,Rosy Cheeks,NONE,NONE,Purple Lipstick,NONE,Earring
5805,97.49,3,Male,Male-Light,Mohawk Thin,NONE,Shadow Beard,NONE,NONE,NONE,Frown,NONE,NONE
5806,86.8,2,Male,Male-Dark,Police Cap,Horned Rim Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5807,73.91,3,Male,Male-Light,Mohawk Thin,Regular Shades,NONE,Mole,NONE,NONE,NONE,NONE,NONE
5808,125.61,3,Female,Female-Mid,Blonde Short,NONE,NONE,Mole,NONE,Cigarette,NONE,NONE,NONE
5809,161.34,2,Female,Female-Dark,Tassle Hat,NONE,NONE,Spots,NONE,NONE,NONE,NONE,NONE
5810,71.28,2,Male,Male-Albino,Stringy Hair,Classic Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5811,104.53,3,Female,Female-Dark,Clown Hair Green,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,Earring
